movieId,ranking,year
fjBJVcDbTvBu,7544,2015
fjBJVcDbTvBu,8384,2016
fjBJVcDbTvBu,10442,2017
fjBJVcDbTvBu,11926,2018
fjBJVcDbTvBu,13066,2019
fjBJVcDbTvBu,10779,2020
fjBJVcDbTvBu,11309,2021
fjBJVcDbTvBu,12036,2022
fjBJVcDbTvBu,14577,2023
CkR7jNYblJU0,12916,2015
CkR7jNYblJU0,14285,2016
CkR7jNYblJU0,15677,2017
CkR7jNYblJU0,16942,2018
CkR7jNYblJU0,18183,2019
CkR7jNYblJU0,18951,2020
CkR7jNYblJU0,20210,2021
CkR7jNYblJU0,20733,2022
CkR7jNYblJU0,22861,2023
jh6bXSlZuIiK,20422,2021
jh6bXSlZuIiK,20529,2022
jh6bXSlZuIiK,22452,2023
e9WKHRWHkQ1X,12992,2016
e9WKHRWHkQ1X,9194,2017
e9WKHRWHkQ1X,9897,2018
e9WKHRWHkQ1X,10653,2019
e9WKHRWHkQ1X,9459,2020
e9WKHRWHkQ1X,11231,2021
e9WKHRWHkQ1X,10492,2022
e9WKHRWHkQ1X,13250,2023
tlZc0LRH9sud,12506,2015
tlZc0LRH9sud,13577,2016
tlZc0LRH9sud,6569,2017
tlZc0LRH9sud,7464,2018
tlZc0LRH9sud,7554,2019
tlZc0LRH9sud,9169,2020
tlZc0LRH9sud,9480,2021
tlZc0LRH9sud,10154,2022
tlZc0LRH9sud,7698,2023
rUulrlqOribu,10039,2021
rUulrlqOribu,7359,2022
rUulrlqOribu,10052,2023
13Y01nVnS3NE,13278,2015
13Y01nVnS3NE,14572,2016
13Y01nVnS3NE,15676,2017
13Y01nVnS3NE,16785,2018
13Y01nVnS3NE,16907,2019
13Y01nVnS3NE,17875,2020
13Y01nVnS3NE,19021,2021
13Y01nVnS3NE,19676,2022
13Y01nVnS3NE,21454,2023
bTxLuOBnHDkN,2168,2015
bTxLuOBnHDkN,2336,2016
bTxLuOBnHDkN,2586,2017
bTxLuOBnHDkN,2624,2018
bTxLuOBnHDkN,2771,2019
bTxLuOBnHDkN,2787,2020
bTxLuOBnHDkN,2353,2021
bTxLuOBnHDkN,2249,2022
bTxLuOBnHDkN,1966,2023
Ijgz1KFz2Mro,4004,2015
Ijgz1KFz2Mro,4004,2016
Ijgz1KFz2Mro,4037,2017
Ijgz1KFz2Mro,5007,2018
Ijgz1KFz2Mro,4038,2019
