directorId,movieId
cn9bmpGIz9e4,fjBJVcDbTvBu
t8ULfVpkgP1p,CkR7jNYblJU0
6rN7VE0RiHSp,jh6bXSlZuIiK
pDRTtDEVaZXs,e9WKHRWHkQ1X
pDRTtDEVaZXs,tlZc0LRH9sud
WjkQky8npN3M,rUulrlqOribu
sRNIXqh8xR1A,13Y01nVnS3NE
sRNIXqh8xR1A,bTxLuOBnHDkN
EsCQQs1v3q1y,bTxLuOBnHDkN
EsCQQs1v3q1y,JseVsGCuBvKZ
EsCQQs1v3q1y,Zm23ZSS2295y
EsCQQs1v3q1y,7jKwtOuU5sn9
EsCQQs1v3q1y,FMlDBwgeqCQi
EsCQQs1v3q1y,OIqSHnZEZQQe
EsCQQs1v3q1y,A4PndQudBBuq
EsCQQs1v3q1y,rSwtyicWrK1s
EsCQQs1v3q1y,A8HpHtfGeBnQ
EsCQQs1v3q1y,vsLNFHPmmq41
EsCQQs1v3q1y,BTRRXCmPE3qd
EsCQQs1v3q1y,hQgE8nBSuzaA
EsCQQs1v3q1y,crjsRKdHJrc5
EsCQQs1v3q1y,T6ZOTX9coZHh
EsCQQs1v3q1y,3VdiH0eDVpQu
EsCQQs1v3q1y,AiKFPmDwhCFy
QmDYsXvxFqHx,Ijgz1KFz2Mro
roPjDIeGIH4s,Ijgz1KFz2Mro
roPjDIeGIH4s,TmTY2B13ks0l
wi4N1ulH67hd,8ebVubrpTImx
SHGC52MoGWiw,8ebVubrpTImx
EZy82c1isjyF,nLqa5GcpTVn1
EZy82c1isjyF,QLy1G6Im6MjV
EZy82c1isjyF,3MHhloNSJnIm
EZy82c1isjyF,oQVp1kOvel5x
2hI6CvblyhYJ,5Wu24h3B96F4
wbRGo2j3GR4q,acYnkulXfNqQ
G0yjp3xYcj7H,acYnkulXfNqQ
7KYjUzyZ1hEj,acYnkulXfNqQ
iePAoMZEcdMs,uNKzcqlhlPO6
s1LaN4qP2vDr,3kdZDlVWlepQ
uG3ZvRsddHLl,fbPuPSR2n6Q0
hXvBAnY1No7b,fbPuPSR2n6Q0
r7gBbp5GYrzj,EIfZlu8ucpnf
r7gBbp5GYrzj,qNO0J2giJvTs
4lJt8UVlA02O,MdG6JrhK8aFZ
CNb2tmelfLa6,MdG6JrhK8aFZ
CNb2tmelfLa6,usRQ2oxQHzEA
CNb2tmelfLa6,7m3Fzx2p55Lv
CNb2tmelfLa6,H9hcC6RwOsuy
CNb2tmelfLa6,Wx8O7wNr48fd
CNb2tmelfLa6,iuqybImKe4g0
CNb2tmelfLa6,w0ud0rY6PR6A
CNb2tmelfLa6,m9uMe9ecKD0W
CNb2tmelfLa6,pf7yQ0aWYUjv
CNb2tmelfLa6,ngaYiIqK901c
CNb2tmelfLa6,h1etkzBUluEz
CNb2tmelfLa6,GAitOoydk6v6
CNb2tmelfLa6,IevT81VMHodz
CNb2tmelfLa6,ifKAvRftP0gy
CNb2tmelfLa6,MkeeX2dkV2yL
CNb2tmelfLa6,3nFPNmlyG0H3
CNb2tmelfLa6,lHl2kLMGvLc2
